,agentName,price,address,beds,baths,parking,postcode
0,Jeff Yu,220.0,CP 4010/120 Abeckett Street MELBOURNE VIC 3000,1,1,1,3000
1,Jason Cai,210.0,Carpark 2105/483 Swanston Street MELBOURNE VIC 3000,1,1,1,3000
2,David Wu,220.0,Car Park/399-405 Queensberry St NORTH MELBOURNE VIC 3051,1,1,1,3051
3,Jeff Yu,230.0,CAR PARK 2008/11 Rose Lane MELBOURNE VIC 3000,1,1,1,3000
4,Kitrina Gorgis,282.0,2657/181 Exhibition Street MELBOURNE VIC 3000,1,1,1,3000
5,Rental Office,240.0,Car Space/6 Leicester Street CARLTON VIC 3053,1,1,1,3053
6,Jeff Yu,260.0,LOT 708/45 Clarke Street SOUTHBANK VIC 3006,1,1,1,3006
7,Ray White Myrtleford,325.0,35 King Street MYRTLEFORD VIC 3737,1,1,0,3737
8,Varsha Jones,240.0,G15/58 Douglas Street NOBLE PARK VIC 3174,1,1,0,3174
9,Steven Agnew,230.0,16/11 Bates Road WARRNAMBOOL VIC 3280,1,1,1,3280
10,Varsha Jones,240.0,G03/58 Douglas Street NOBLE PARK VIC 3174,1,1,0,3174
11,Casey Estate Agents,230.0,5 Morris DANDENONG NORTH VIC 3175,1,1,0,3175
12,Phoebe Tayler,220.0,35 Sarton Road CLAYTON VIC 3168,1,2,0,3168
13,Gemma DeRose,250.0,630 Doyles Rd SHEPPARTON VIC 3630,3,1,0,3630
14,Phoebe Tayler,230.0,1/53 Stockdale Avenue CLAYTON VIC 3168,1,1,0,3168
15,Tim Callander,205.0,22 Senior Court HIGHTON VIC 3216,1,1,0,3216
16,James Hickey,250.0,24 Mcmurtry Way FRANKSTON SOUTH VIC 3199,1,1,0,3199
17,Shermta Flomo,250.0,4/677 Park Street BRUNSWICK VIC 3056,1,1,0,3056
18,Nadine Cotsaris,250.0,3 Tirari Street TRUGANINA VIC 3029,1,1,2,3029
19,Helen Greville,240.0,5A/42 Lardner Road FRANKSTON VIC 3199,1,2,0,3199
20,Hannah Raguse,210.0,1/52-54 Oakwood Crescent WAURN PONDS VIC 3216,1,1,0,3216
21,Daniella De Rooy,250.0,2/76 Moore Street COLAC VIC 3250,2,1,1,3250
22,Ange Cruickshank,230.0,7/5 Licola Road HEYFIELD VIC 3858,2,1,0,3858
23,Janelle Ivermee,220.0,2/5 Stanley Street NEWTOWN VIC 3220,1,1,1,3220
24,Angie Vakrinos,240.0,8/520 City Road SOUTH MELBOURNE VIC 3205,1,1,0,3205
25,Michelle Grech,220.0,"3, 4 & 6/9 Bunya Place WERRIBEE VIC 3030",1,1,1,3030
26,Frankie Jayne,230.0,53 McEwan Road HEIDELBERG HEIGHTS VIC 3081,1,1,0,3081
27,Buxton Ballarat Leasing,240.0,4/167 Victoria Street BALLARAT EAST VIC 3350,1,1,1,3350
28,Kenneth Wu,220.0,148 Station Street BURWOOD VIC 3125,1,2,0,3125
29,Dylan Cropley,250.0,57 Ballarat Road FOOTSCRAY VIC 3011,1,1,0,3011
30,James Hickey,240.0,12 Barkly Street CRANBOURNE VIC 3977,1,1,0,3977
31,Max Mai,250.0,53 Beddoe Avenue CLAYTON VIC 3168,1,3,0,3168
32,Sarah Holdsworth,230.0,9 Bunya Place WERRIBEE VIC 3030,1,1,1,3030
33,James Hickey,230.0,56 Burke Road MALVERN EAST VIC 3145,1,2,0,3145
34,Joseph El-Fahkri,215.0,206/267 High Street NORTHCOTE VIC 3070,1,1,0,3070
35,Kenneth Wu,240.0, BURWOOD VIC 3125,1,1,1,3125
36,Simone Dunstan,250.0,3/7 Moet Street COLAC VIC 3250,1,1,1,3250
37,Tia Perry,210.0,1/133 Raleigh Road MARIBYRNONG VIC 3032,1,1,0,3032
38,Lisa Formica,245.0,Unit 1/5 Mcmillan Ct SHEPPARTON VIC 3630,1,1,0,3630
39,Varsha Jones,205.0,58 Douglas Street NOBLE PARK VIC 3174,1,1,0,3174
40,Varsha Jones,250.0,7 White Street OAKLEIGH EAST VIC 3166,1,1,0,3166
41,Mackenzie Punton,205.0,30 Skene Street KENNINGTON VIC 3550,1,1,1,3550
42,Vincent Tassoni,225.0,279 Wyndham Street SHEPPARTON VIC 3630,1,1,0,3630
43,Annie Smith,11471.0,28A McCartin Street LEONGATHA VIC 3953,1,1,0,3953
44,Tayla Hider,230.0,rooms 1-7/4 Lanark Court WODONGA VIC 3690,7,2,2,3690
45,Mayu Yamamoto,250.0,2/67 Marshall Avenue CLAYTON VIC 3168,8,4,0,3168
46,Minus The Agent Property Management,210.0,151 Petschels Lane HAMILTON VIC 3300,1,1,20,3300
47,Leasing Team,230.0,325 Nepean Highway FRANKSTON VIC 3199,1,1,0,3199
48,Tara Apps,230.0,1/57 Haverfield Street ECHUCA VIC 3564,1,1,1,3564
49,Amy Steel,250.0,13 Burke Street KERANG VIC 3579,3,1,2,3579
50,Adele Henry,215.0,4/9 Law St NEWBOROUGH VIC 3825,1,1,1,3825
51,Sharon Williams,230.0,4/14 Trevatt Ct MILDURA VIC 3500,1,1,1,3500
52,Vikki Shaw,230.0,2/11-15 Mimosa Court MARYBOROUGH VIC 3465,2,1,1,3465
53,Debbie Ravida,220.0,3/19 Kurrajong Way BEECHWORTH VIC 3747,1,1,0,3747
54,Harry Nihill,210.0,34 Coventry Crescent MILL PARK VIC 3082,1,3,2,3082
55,Dianne Verhey,250.0,4/305 Ogilvie Ave ECHUCA VIC 3564,1,1,1,3564
56,Jamie-Lee Di Giorgio,240.0,305/51 Gordon Street FOOTSCRAY VIC 3011,1,1,0,3011
57,Lisa Bishop,250.0,3 & 5/74 Jones Road DANDENONG VIC 3175,1,1,0,3175
58,Harry Nihill,235.0,1027 Plenty Road KINGSBURY VIC 3083,1,2,1,3083
59,Beth  McKay,220.0,9 Komodo Road CURLEWIS VIC 3222,1,1,0,3222
60,Ismaeel Hussain,270.0,6/106 Alexandra Street ST KILDA EAST VIC 3183,1,1,1,3183
61,Natalie Subotsch,290.0,9 Cooma Street PRESTON VIC 3072,1,1,0,3072
62,Natalie Subotsch,280.0,789 Sydney Road COBURG VIC 3058,1,1,0,3058
63,Daniel Hamilton,300.0,203/41-43 Park Street HAWTHORN VIC 3122,1,1,0,3122
64,Sharie Kerr,270.0,50 Elmhurst Road BAYSWATER NORTH VIC 3153,1,1,0,3153
65,Emma Watkinson,280.0,O/1134 Dandenong Road CARNEGIE VIC 3163,1,1,0,3163
66,Certainty  Property Vic,265.0,8 Jacobena Road MELTON SOUTH VIC 3338,1,1,0,3338
67,Certainty  Property Vic,270.0,63 Pintail Drive MELTON SOUTH VIC 3338,1,1,0,3338
68,Bianca Birnbauer,300.0,1048 Aviation Road WERRIBEE SOUTH VIC 3030,1,1,1,3030
69,Abbey McGowan,285.0,36 Evergreen Street ARMSTRONG CREEK VIC 3217,1,1,2,3217
70,Shermta Flomo,300.0,12/1492 Malvern Road GLEN IRIS VIC 3146,1,1,0,3146
71,Michelle Grech,280.0,75 Shipwright Parade WERRIBEE VIC 3030,1,1,1,3030
72,Shane Kozaris,300.0,14/318 Lyons Street South BALLARAT CENTRAL VIC 3350,1,1,1,3350
73,Binh Nguyen (benny),300.0,1/36 Ridley Street ALBION VIC 3020,1,1,1,3020
74,Taneya Burke,285.0,109a Humffray Street North BALLARAT EAST VIC 3350,1,1,1,3350
75,Ben Fu,295.0,G06/8 Porter Street PRAHRAN VIC 3181,1,1,0,3181
76,Flynn Kellett,290.0,28 Lawrence Street BEAUFORT VIC 3373,2,1,0,3373
77,Dylan Ryan,260.0,1/5 Elizabeth Street STAWELL VIC 3380,2,1,1,3380
78,For Rent (VIC),300.0, PARK ORCHARDS VIC 3114,6,3,3,3114
79,Emily Haynes,300.0,5/2 Martin Street THOMSON VIC 3219,1,1,1,3219
80,Property Management Team,270.0,2/16 Maple Street SHEPPARTON VIC 3630,2,1,1,3630
81,Briony Langsam,280.0,2/120 Shakespeare Street TRARALGON VIC 3844,2,1,1,3844
82,Property Management Team,280.0,1/37 Wilmot Road SHEPPARTON VIC 3630,2,1,1,3630
83,Nneka Ononye,295.0,2/48 Clonard Avenue GEELONG WEST VIC 3218,1,1,1,3218
84,Gina Kyritsis,270.0,19/148 Power Street HAWTHORN VIC 3122,1,1,0,3122
85,Skye Couch,290.0,7/36 Ovens Street WANGARATTA VIC 3677,1,1,1,3677
86,Annie-Jo Ross,290.0,2/34 Vale Street ALFREDTON VIC 3350,3,1,1,3350
87,Connie Young,275.0,12 Oram St SHEPPARTON VIC 3630,2,1,0,3630
88,Nicole Boni,300.0,7/35 Dorward Avenue NEWCOMB VIC 3219,1,1,1,3219
89,Ashleigh King,300.0,311/154 Elgar Road BOX HILL SOUTH VIC 3128,1,1,1,3128
90,Nath Toutam,285.0,77C/116-130 Main Drive MACLEOD VIC 3085,1,1,0,3085
91,Ben Fu,275.0,1-5 Donald Street PRAHRAN VIC 3181,1,1,0,3181
92,Tianna Vella,280.0,2/13 Langstaffe Drive WENDOUREE VIC 3355,2,1,1,3355
93,Buxton Ballarat Leasing,300.0,1/30 Browns Parade WENDOUREE VIC 3355,1,1,0,3355
94,Buxton Ballarat Leasing,260.0,2/6 Alfred Street SEBASTOPOL VIC 3356,2,1,1,3356
95,Create Real Estate,280.0,5/14 Rondell Avenue WEST FOOTSCRAY VIC 3012,1,1,1,3012
96,Shane Thomson,300.0,838 Drysdale Road EUROA VIC 3666,2,1,0,3666
97,Rebecca Imbrosciano,290.0,16/11-13 Cooma Street PRESTON VIC 3072,1,1,1,3072
98,Joanna Karow,300.0,4/50 Rich Street NOBLE PARK VIC 3174,1,1,1,3174
99,Laura Pavey,300.0,20 Longfield Street STAWELL VIC 3380,2,1,1,3380
100,Rob Manning,290.0,3A Ian Court NEWCOMB VIC 3219,1,1,1,3219
101,Reynaldo Rilen,290.0,208A La Trobe Street REDAN VIC 3350,1,1,1,3350
102,Brea Killen,300.0,2/21 Polwarth Crescent BELMONT VIC 3216,1,1,1,3216
103,Nath Toutam,300.0,64B/116-130 Main Drive MACLEOD VIC 3085,1,1,0,3085
104,Alister Hosking,280.0,2/4 John Street WENDOUREE VIC 3355,1,1,1,3355
105,Yoyo Xu,280.0, EPPING VIC 3076,1,1,0,3076
106,Helen Greville,300.0,Room 8/2 Alba Street FRANKSTON NORTH VIC 3200,1,1,0,3200
107,Elise Plant,285.0,24/30-38 Park Lane TRARALGON VIC 3844,1,1,1,3844
108,Elise Plant,285.0,19/30 - 38 Park Lane TRARALGON VIC 3844,1,1,0,3844
109,Mia Bakri,300.0,124/55 Villiers Street NORTH MELBOURNE VIC 3051,1,1,0,3051
110,Nneka Ononye,295.0,17/20 Ficinia Mews HIGHTON VIC 3216,1,1,0,3216
111,RentBetter Team,300.0,20 Macrae Street EAST BAIRNSDALE VIC 3875,1,1,0,3875
112,Bronte Rapp,300.0,2/46 Purnell Road CORIO VIC 3214,1,1,1,3214
113,Olivia Stewart,300.0,3/11 Corryong Court ALFREDTON VIC 3350,1,1,1,3350
114,Tia Perry,285.0,50 Combermere St ABERFELDIE VIC 3040,1,1,0,3040
115,Kenneth Wu,270.0,24 Koonawarra Street CLAYTON VIC 3168,1,1,0,3168
116,Sunny Singh,300.0,28A Smeaton Avenue HOPPERS CROSSING VIC 3029,1,1,1,3029
117,Grace Smith,275.0,2/204 Leith Street REDAN VIC 3350,1,1,1,3350
118,Melissa Bell,300.0,10/19 Lake Avenue OCEAN GROVE VIC 3226,1,1,1,3226
119,Simone Dunstan,280.0,14 Carr Street COLAC VIC 3250,1,1,1,3250
120,Katie Wong,300.0,112C/60 Waverley Road MALVERN EAST VIC 3145,3,2,0,3145
121,For Rent (VIC),260.0,49 Dickson Street SUNSHINE VIC 3020,1,1,1,3020
122,For Rent (VIC),290.0,41 Gillard St BURWOOD VIC 3125,1,1,0,3125
123,Max Mai,280.0,41 Koonawarra Street CLAYTON VIC 3168,1,3,0,3168
124,Japneet Hansen-Thorpe,280.0,31 Rosamond Road MAIDSTONE VIC 3012,1,1,0,3012
125,Kitrina Gorgis,1214.0,17 Finningley Drive TULLAMARINE VIC 3043,1,1,1,3043
126,For Rent (VIC),299.0,48 Roberts Street FRANKSTON VIC 3199,9,3,4,3199
127,Grace Smith,300.0,5 Eyckens Road LUCAS VIC 3350,3,3,2,3350
128,Tanya Alley,295.0,7/4 Woods Avenue MORDIALLOC VIC 3195,1,1,1,3195
129,Harcourts Asap Leasing Team,260.0,17 Service Road BLACKBURN VIC 3130,9,2,0,3130
130,Michelle Miocic,260.0,10/48 King Street ARARAT VIC 3377,2,1,1,3377
131,Property Management Team,300.0,603 Union Road KATANDRA WEST VIC 3634,3,1,0,3634
132,Buxton Ballarat Leasing,300.0,1/425 Clayton Street CANADIAN VIC 3350,1,1,0,3350
133,Buxton Ballarat Leasing,300.0,2/18 Canterbury Street BROWN HILL VIC 3350,1,1,0,3350
134,Elise Plant,265.0,8/30 - 38 Park Lane TRARALGON VIC 3844,1,1,1,3844
135,Varsha Jones,300.0,1457 North Road CLAYTON VIC 3168,1,1,0,3168
136,Lynn Do,290.0,51 Garden Street SOUTH YARRA VIC 3141,1,1,0,3141
137,Lynn Do,290.0,60 Garden Street SOUTH YARRA VIC 3141,1,1,0,3141
138,Varsha Jones,300.0,1728 Dandenong Road CLAYTON VIC 3168,1,1,0,3168
139,Katie Wong,300.0,60 Waverley Road MALVERN EAST VIC 3145,1,1,0,3145
140,Rentals,300.0,11/34 Chertsey Road SHEPPARTON VIC 3630,2,1,1,3630
141,Max Mai,290.0,1/4 Stewart Road OAKLEIGH EAST VIC 3166,1,1,0,3166
142,Michelle Grech,280.0,38 George Street ST ALBANS VIC 3021,1,1,1,3021
143,Steven Xu,280.0,18 Goold Street BURWOOD VIC 3125,1,1,0,3125
144,Chris Sun,290.0,1-9/11 Railway Crescent CROYDON VIC 3136,1,1,0,3136
145,Huey Lim,300.0,133 Droop Street FOOTSCRAY VIC 3011,1,1,0,3011
146,Kay Kwok,285.0,216 Burwood Highway BURWOOD VIC 3125,1,1,4,3125
147,Cheryl Xu,290.0,484 Elgar Road BOX HILL VIC 3128,1,1,6,3128
148,Ben Fu,285.0,42 Porter Street PRAHRAN VIC 3181,1,1,0,3181
149,Nath Toutam,300.0,593 Elizabeth Street MELBOURNE VIC 3000,1,1,0,3000
150,Jennifer Caruana,290.0,24 Barkly Place CARLTON VIC 3053,1,1,0,3053
151,Sadia Sabi,295.0,411/5 Dudley Street CAULFIELD EAST VIC 3145,1,1,0,3145
152,Grace Gee,275.0,1/11 McDonald Street FOSTER VIC 3960,1,1,1,3960
153,Jason Song,280.0,6A Goold Street BURWOOD VIC 3125,1,1,0,3125
154,Emma Burke,290.0,2/16 Gemmill Street MOOROOPNA VIC 3629,1,1,1,3629
155,Sho Hai Mai,290.0,1/5 Madeleine Road CLAYTON VIC 3168,1,1,0,3168
156,Debbie Boatman-Murphy,300.0,430 Lee Morrison Road MURMUNGEE VIC 3747,3,1,0,3747
157,Adele Henry,300.0,3/21 South St MOE VIC 3825,2,1,1,3825
158,Tammy McLean,290.0,2/145 Magnolia Avenue MILDURA VIC 3500,2,1,1,3500
159,Roz Gauci,300.0,24/36 Ridley Street ALBION VIC 3020,1,1,1,3020
160,Adele Henry,300.0,10/13 Saxtons Dr MOE VIC 3825,2,1,1,3825
161,Bianca Harris,260.0,23/15 Burrage Street MOE VIC 3825,1,1,0,3825
162,Sho Hai Mai,270.0,62 Koonawarra Street CLAYTON VIC 3168,1,1,0,3168
163,Sho Hai Mai,260.0,1/5 Saniky Street NOTTING HILL VIC 3168,1,1,0,3168
164,Stacey Justice,290.0,2/41 Cruse Street WANGARATTA VIC 3677,1,1,0,3677
165,Jaimii Gardner-Carroll,260.0,18/291 York Street SALE VIC 3850,2,1,1,3850
166,Tara Apps,275.0,4/28 Premier Street ECHUCA VIC 3564,1,1,1,3564
167,Property Management,280.0,35 Mcmillan St MORWELL VIC 3840,2,1,2,3840
168,Sho Hai Mai,270.0,21 Beddoe Avenue CLAYTON VIC 3168,1,1,0,3168
169,Geelong Leasing,300.0,3/10 Portarlington Road NEWCOMB VIC 3219,2,1,1,3219
170,Sho Hai Mai,295.0,1/37 Stockdale Avenue CLAYTON VIC 3168,1,1,0,3168
171,Sandy Ho,300.0,518/51 Gordon st FOOTSCRAY VIC 3011,1,1,0,3011
172,Rachael McCartney,270.0,32 Madden Street North KANIVA VIC 3419,3,1,2,3419
173,Amy Steel,280.0,32 Holloway Street BOORT VIC 3537,3,1,1,3537
174,Aaron Lewis Property Agents,285.0,1/39 Lynott Street HORSHAM VIC 3400,2,1,1,3400
175,Deb Riley,285.0,49 Newington Rd STAWELL VIC 3380,2,1,1,3380
176,Gina Mathioulakis,280.0,28 Viola Drive ROCKBANK VIC 3335,1,1,0,3335
177,Fetima Pollock,290.0,26 Hennessy street HORSHAM VIC 3400,3,1,1,3400
178,Peter D'aloia,300.0,3/6 Ridley Street ALBION VIC 3020,1,1,1,3020
179,Toni Spires,300.0,1/30 Willis Avenue MARLO VIC 3888,2,1,1,3888
180,Jaimii Gardner-Carroll,270.0,6/291 York Street SALE VIC 3850,2,1,1,3850
181,Thomas Wong,290.0,3/5 Archibald Street BOX HILL VIC 3128,1,1,0,3128
182,Rachael McCartney,280.0,1 Farmers Street KANIVA VIC 3419,3,1,1,3419
183,Gemma Collins,300.0,5/8 Pinnock Street BAIRNSDALE VIC 3875,2,1,1,3875
184,Rental Department,300.0,7 Tulloch Street MORWELL VIC 3840,2,1,0,3840
185,Harry Nihill,300.0,11 Mansfield Court BUNDOORA VIC 3083,1,1,4,3083
186,Debbie Owen,300.0,1/89 Nyora Road POOWONG VIC 3988,1,1,0,3988
187,Lauren Parker,260.0,6/5-7 Cameron Avenue MILDURA VIC 3500,1,1,1,3500
188,Jaimii Gardner-Carroll,290.0,35/291 York Street SALE VIC 3850,3,1,1,3850
189,Sharon Butcher,275.0,Site 35/2 The Boulevard EILDON VIC 3713,2,1,0,3713
190,Amy Blackman,280.0,2/13 Bennett Street SHEPPARTON VIC 3630,1,1,1,3630
191,Penny Cotterill,290.0,2/337 Gray Street HAMILTON VIC 3300,2,1,1,3300
192,Grace Gee,275.0,2/11 McDonald Street FOSTER VIC 3960,1,1,1,3960
193,Chloe Brinkhuis,300.0,2/25 High Street LANCEFIELD VIC 3435,1,1,1,3435
194,Nick Huang,300.0,Manton Road CLAYTON VIC 3168,1,1,0,3168
195,Rebecca Dewhirst,280.0,43 Green Street CARISBROOK VIC 3464,2,1,2,3464
196,Ke Ke,1200.0,B3/23C Oakes Avenue CLAYTON SOUTH VIC 3169,1,1,0,3169
197,Lisa Bishop,285.0,4 & 8/29 Hutton Street DANDENONG VIC 3175,1,1,0,3175
198,Fiona Knight,290.0,9 Garrard Street HOPETOUN VIC 3396,3,2,2,3396
199,Rental Department,280.0,1/11 Hyland Street MOE VIC 3825,2,1,0,3825
200,Jodie Robinson,300.0,13 Westh Street UNDERBOOL VIC 3509,3,1,0,3509
201,Rental Department,295.0,1/24 Hazelwood Road MORWELL VIC 3840,2,1,1,3840
202,Bill Collias,290.0,14/245 Gower Street PRESTON VIC 3072,1,1,0,3072
203,Property Management,290.0,23 Kokoda St MORWELL VIC 3840,2,1,2,3840
204,Kellie Nash,285.0,31 Bonnie View Bolwarra Vic BOLWARRA VIC 3305,2,1,0,3305
205,Peter D'aloia,300.0,4/6 Ridley Street ALBION VIC 3020,1,1,1,3020
206,Assets Portland,300.0,4/48 Tyers Street PORTLAND VIC 3305,2,1,1,3305
207,Kayla Wardlaw,300.0,5/191 Park Road MARYBOROUGH VIC 3465,2,1,1,3465
208,Rental Department,285.0,140A Mary Street MORWELL VIC 3840,2,1,0,3840
209,Sharliese Orchard,260.0,Room 8/152 Dorset Road BORONIA VIC 3155,1,1,0,3155
210,Amy Hu,300.0,7/106 South Parade BLACKBURN VIC 3130,1,1,0,3130
211,Clayton Leasing team,265.0,Unit 2/18 Glenbrook Avenue CLAYTON VIC 3168,1,1,0,3168
212,Clayton Leasing team,300.0,184 Dorset Road BORONIA VIC 3155,1,1,0,3155
213,Tim Taylor,290.0,50 Green Street WINDSOR VIC 3181,1,1,0,3181
214,Joe Tumino,300.0,6/152-154 Princess Street KEW VIC 3101,1,2,1,3101
215,Debbie Ravida,300.0,2/19 Kurrajong Way BEECHWORTH VIC 3747,3,1,0,3747
216,Kerry Miller,300.0,451A Upper Murray Rd TOWONG UPPER VIC 3707,1,1,1,3707
217,Mayu Yamamoto,280.0,1/18 Arnott Street CLAYTON VIC 3168,1,1,1,3168
218,Tim Annett,280.0,4 Frederick Street BENDIGO VIC 3550,1,1,3,3550
219,Harry Nihill,280.0,203 Waiora Road HEIDELBERG HEIGHTS VIC 3081,1,1,0,3081
220,Holly Lush,295.0,4/131 Billabong Road NICHOLS POINT VIC 3501,2,1,1,3501
221,Mick Abdou,280.0,76 Graham Street NEWPORT VIC 3015,1,1,1,3015
222,Emily Dowel Aquire Leasing,285.0,2/17 Lewis Street FRANKSTON VIC 3199,2,1,1,3199
223,Greer Eastick,330.0,29/4 Wando Grove ST KILDA EAST VIC 3183,1,1,0,3183
224,Daniel Hamilton,350.0,1/16 Hampton Road ESSENDON WEST VIC 3040,1,1,1,3040
225,Cameron  Gibson,350.0,6/263 Dandenong Road PRAHRAN VIC 3181,1,1,1,3181
226,Ismaeel Hussain,330.0,9/10 Ormond Road ORMOND VIC 3204,1,1,1,3204
227,Melanie Jones,350.0,1/19 Cole Street WILLIAMSTOWN VIC 3016,1,1,0,3016
228,Tom Koller,350.0,4/8 Bailey Avenue ARMADALE VIC 3143,1,1,0,3143
229,Preet Sandhu,335.0,2/35 Rowena Parade RICHMOND VIC 3121,1,1,1,3121
230,Jackie Levy,320.0,3/62 Davidson Street TRARALGON VIC 3844,1,1,1,3844
231,Jamie-Lee Fox,340.0,11/15 Poplar Grove CARNEGIE VIC 3163,1,1,1,3163
232,Kerttu  Luik,340.0,108/24 Barkly Place CARLTON VIC 3053,1,1,0,3053
233,Artem Chereshkov,350.0,214/363 Beaconsfield Parade MIDDLE PARK VIC 3206,1,1,0,3206
234,Zarah Baker,350.0,7/13 Glenvale Road GLEN IRIS VIC 3146,1,1,1,3146
235,Brittany Thomas,340.0,2/333 BEECHWORTH ROAD WODONGA VIC 3690,2,1,1,3690
236,Leasing Team,320.0,2/168 Mason Street NEWPORT VIC 3015,1,1,1,3015
237,Ally Smith,320.0,1/3 Foster Street WARRNAMBOOL VIC 3280,2,1,0,3280
238,Laura Scott,350.0,6/23-25 Steet Street FOOTSCRAY VIC 3011,1,1,1,3011
239,Laura Scott,325.0,3/23-25 Steet Street FOOTSCRAY VIC 3011,1,1,1,3011
240,Katie Wong,330.0,110/313-319 Waverley Road MALVERN EAST VIC 3145,1,1,0,3145
241,Kimbaley Martin,335.0,3/19 Cole Street HERNE HILL VIC 3218,2,1,0,3218
242,Greer Eastick,330.0,16/42 Waterloo Crescent ST KILDA VIC 3182,1,1,0,3182
243,Shermta Flomo,340.0,6/145 Canterbury Road TOORAK VIC 3142,1,1,0,3142
244,Kirk Stafford,340.0,12/50 Fitzroy Street ST KILDA VIC 3182,1,1,0,3182
245,Alesia Kasy,315.0,7/4 Cranbourne Drive CRANBOURNE VIC 3977,1,1,0,3977
246,Rental Department,340.0,6/20 Hopetoun Road WARRNAMBOOL VIC 3280,2,1,1,3280
247,Leasing Concierge,330.0,11/58 Alma Rd ST KILDA EAST VIC 3183,1,1,0,3183
248,Dylan Archer-Jeffrey,320.0,2/112 Lonsdale Street REDAN VIC 3350,2,1,0,3350
249,Nhi Dinh,310.0,10/121 Anderson Road ALBION VIC 3020,1,1,1,3020
250,Elley Fraser,350.0,1/29 Paola Lane GERMANTOWN VIC 3741,2,1,1,3741
251,Aki Stefanidakis,320.0,2/4 Marie Drive WODONGA VIC 3690,2,1,1,3690
252,Charmaine Pezzutto-White,350.0,150A Hazelwood Road TRARALGON VIC 3844,2,1,2,3844
253,Stephanie Luong,350.0,113/72-76 High Street High Street PRAHRAN VIC 3181,1,1,1,3181
254,Ben Fu,320.0,206/1-5 Donald Street PRAHRAN VIC 3181,1,1,0,3181
255,Sugi Cahyadi,330.0,414A/71 Riversdale Road HAWTHORN VIC 3122,1,1,0,3122
256,Nath Toutam,310.0,30A/116-130 Main Drive MACLEOD VIC 3085,1,1,0,3085
257,Sugi Cahyadi,315.0,419/2 Eastern Place HAWTHORN EAST VIC 3123,1,1,0,3123
258,Varsha Jones,310.0,6.3/7 White Street OAKLEIGH EAST VIC 3166,1,1,0,3166
259,Glenroy Rentals,350.0,313A Camp Rd BROADMEADOWS VIC 3047,2,1,1,3047
260,Swati Sapra,320.0,6/55 Daley Street BENTLEIGH VIC 3204,1,1,1,3204
261,Danny Campos,350.0,111/133 Jolimont Road EAST MELBOURNE VIC 3002,1,1,0,3002
262,Danny Campos,340.0,618/133 Jolimont Road EAST MELBOURNE VIC 3002,1,1,0,3002
263,Jarrod Hutchins,340.0,73 Margaret Street MOE VIC 3825,2,1,1,3825
264,Skye Couch,350.0,3 Hilandra Avenue WANGARATTA VIC 3677,2,1,1,3677
265,Leasing Team,350.0,25/325 Nepean Highway FRANKSTON VIC 3199,2,1,1,3199
266,Claire Van Dyk,350.0,8/25 Brixton Street FLEMINGTON VIC 3031,1,1,0,3031
267,Property  Management,350.0,2/3-5 Feshti SHEPPARTON VIC 3630,2,1,0,3630
268,Adriana Tanzimat,310.0,7/831 Park Street BRUNSWICK VIC 3056,1,1,1,3056
269,Bryony Bult,340.0,1/15 Jackson Street ST KILDA VIC 3182,1,1,0,3182
270,Riya Sharma,320.0,6 Jacaranda Court WERRIBEE VIC 3030,1,1,1,3030
271,Huey Lim,350.0,317/133 Droop Street FOOTSCRAY VIC 3011,1,1,0,3011
272,Ben Fu,345.0,308/42 Porter Street PRAHRAN VIC 3181,1,1,0,3181
273,Kay Kwok,345.0,126/386 Burwood Highway BURWOOD VIC 3125,1,1,0,3125
274,Minmin Winand,350.0,6/467 Princes Highway NOBLE PARK VIC 3174,2,1,1,3174
275,Steven Agnew,330.0,8 Shadforth Street TERANG VIC 3264,2,1,0,3264
276,Amanda Carr,320.0,4/30 Chifley Avenue ALTONA VIC 3018,1,1,1,3018
277,Ashleigh King,340.0,REAR/531 Middleborough Road BOX HILL NORTH VIC 3129,2,1,0,3129
278,Nadine Bunworth,350.0,5 Bell St REDAN VIC 3350,3,1,1,3350
279,Prime Rentals,320.0,3/13 Norwood Street HERNE HILL VIC 3218,1,1,1,3218
280,Rental Dept - Barry Plant Noble Park,320.0,29B Fugosia Street DOVETON VIC 3177,1,1,1,3177
281,Leasing Team,350.0,G13/441 Lonsdale Street MELBOURNE VIC 3000,1,1,0,3000
282,Nneka Ononye,330.0,5/94 Aphrasia Street NEWTOWN VIC 3220,1,1,1,3220
283,Buxton Ballarat Leasing,340.0,16/216 Forest Street WENDOUREE VIC 3355,2,1,1,3355
284,Tiana Parnell,320.0,2/403 Barkly Street BUNINYONG VIC 3357,2,1,1,3357
285,Prime Rentals,330.0,2/104 Isabella Street GEELONG WEST VIC 3218,1,1,1,3218
286,Buxton Ballarat Leasing,330.0,3 Spencer Street SEBASTOPOL VIC 3356,2,1,1,3356
287,Saskia Heeney,350.0,2/9 Reception Avenue STRATHDALE VIC 3550,2,1,1,3550
288,Ben Fu,305.0,301/32 St Edmonds Road PRAHRAN VIC 3181,1,1,0,3181
289,Ben Fu,310.0,311/32 St Edmonds Road PRAHRAN VIC 3181,1,1,0,3181
290,Ben Fu,330.0,421/42 Porter Street PRAHRAN VIC 3181,1,1,0,3181
291,Ben Fu,310.0,310/32 St Edmonds Road PRAHRAN VIC 3181,1,1,0,3181
292,Ben Fu,310.0,102/8 Porter Street PRAHRAN VIC 3181,1,1,0,3181
